elapsed_s	rss_kb	pct_of_limit
0	8	0
15	2765432	19
30	2765432	19
45	2765432	19
60	2765432	19
75	2765432	19
90	2989092	21
105	670572	4
120	670572	4
135	670572	4
150	670572	4
165	685940	4
180	685940	4
195	1303224	9
210	1303224	9
225	1303224	9
240	1303224	9
255	1303224	9
270	1303224	9
285	1313472	9
300	1474448	10
315	1474448	10
330	1489824	10
345	1592084	11
360	1607460	11
375	693952	4
390	2879724	20
405	702116	5
420	2889892	20
435	2889892	20
450	2889892	20
465	2889892	20
480	2889892	20
495	523544	3
510	685616	4
525	685616	4
540	685616	4
555	695864	4
570	700988	5
585	1304220	9
601	1304220	9
616	1304220	9
631	1304220	9
646	1304220	9
661	1304220	9
676	1319592	9
691	1322156	9
706	1476644	10
721	1492012	10
736	1515264	10
751	1588808	11
766	1670704	11
781	2365400	16
796	509092	3
811	4438472	31
826	5594296	39
841	5594296	39
856	5594296	39
871	5594296	39
886	5594296	39
901	5594296	39
916	5594296	39
931	5594296	39
946	5594296	39
961	6002604	42
976	5975104	42
991	729196	5
1006	729196	5
1021	729196	5
1036	729196	5
1051	739440	5
1066	739440	5
1081	1320408	9
1096	1320408	9
1111	1320408	9
1126	1320408	9
1141	1320408	9
1156	1320408	9
1171	1335776	9
1186	1494816	10
1201	1494816	10
1216	1510184	10
1231	1603232	11
1246	1613476	11
1261	1701752	12
1276	3030936	21
1291	1294752	9
1306	5364744	38
1321	5609840	40
1336	5609840	40
1351	5609840	40
1366	5609840	40
1381	5609840	40
1396	5609840	40
1411	5609840	40
1426	5609840	40
1441	5609840	40
1456	6010188	42
1471	167744	1
1486	717924	5
1501	717924	5
1516	717924	5
1531	717924	5
1546	733292	5
1561	1267368	9
1576	1323908	9
1591	1323908	9
1606	1323908	9
1621	1323908	9
1636	1323908	9
1651	1334152	9
1666	1339276	9
1681	1498284	10
1696	1508532	10
1711	1528832	10
1726	1606348	11
1741	1624284	11
1756	1638412	11
